00 testapp
00 01
00 testapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:07:22 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):63420.79  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
02 timestamp(ms):63930.26 rotation(x,y,z):0,0,-9.684
02 timestamp(ms):63952.53 rotation(x,y,z):0,0,-8.79
02 timestamp(ms):63974.53 rotation(x,y,z):0,0,-7.898
02 timestamp(ms):63996.88 rotation(x,y,z):0,0,-7.012
02 timestamp(ms):64019.18 rotation(x,y,z):0,0,-6.122
02 timestamp(ms):64041.24 rotation(x,y,z):0,0,-5.23
02 timestamp(ms):64063.86 rotation(x,y,z):0,0,-4.347
02 timestamp(ms):64085.97 rotation(x,y,z):0,0,-3.444
02 timestamp(ms):64108.33 rotation(x,y,z):0,0,-2.56
02 timestamp(ms):64130.36 rotation(x,y,z):0,0,-1.666
02 timestamp(ms):64152.32 rotation(x,y,z):0,0,-0.783
02 timestamp(ms):64174.61 rotation(x,y,z):0,0,0
02 timestamp(ms):64198.03 rotation(x,y,z):0,0,0.892
02 timestamp(ms):64219.08 rotation(x,y,z):0,0,1.83
02 timestamp(ms):64241.45 rotation(x,y,z):0,0,2.671
02 timestamp(ms):64263.55 rotation(x,y,z):0,0,3.565
02 timestamp(ms):64285.7 rotation(x,y,z):0,0,4.451
02 timestamp(ms):64307.87 rotation(x,y,z):0,0,5.339
02 timestamp(ms):64330.88 rotation(x,y,z):0,0,6.223
02 timestamp(ms):64353.2 rotation(x,y,z):0,0,7.143
02 timestamp(ms):64375.3 rotation(x,y,z):0,0,8.029
02 timestamp(ms):64397.45 rotation(x,y,z):0,0,8.917
02 timestamp(ms):64418.94 rotation(x,y,z):0,0,9.807
02 timestamp(ms):64441.19 rotation(x,y,z):0,0,10.667
02 timestamp(ms):64463.6 rotation(x,y,z):0,0,11.555
02 timestamp(ms):64486.12 rotation(x,y,z):0,0,12.452
02 timestamp(ms):64507.72 rotation(x,y,z):0,0,13.351
02 timestamp(ms):64530.14 rotation(x,y,z):0,0,14.218
02 timestamp(ms):64552.71 rotation(x,y,z):0,0,15
02 timestamp(ms):64574.58 rotation(x,y,z):0,0,14.1
02 timestamp(ms):64596.85 rotation(x,y,z):0,0,13.223
02 timestamp(ms):64619.02 rotation(x,y,z):0,0,12.332
02 timestamp(ms):64641.17 rotation(x,y,z):0,0,11.447
02 timestamp(ms):64663.5 rotation(x,y,z):0,0,10.562
02 timestamp(ms):64686.71 rotation(x,y,z):0,0,9.67
02 timestamp(ms):64707.8 rotation(x,y,z):0,0,8.737
02 timestamp(ms):64730.09 rotation(x,y,z):0,0,7.892
02 timestamp(ms):64752.32 rotation(x,y,z):0,0,7.005
02 timestamp(ms):64774.4 rotation(x,y,z):0,0,6.116
02 timestamp(ms):64796.75 rotation(x,y,z):0,0,5.226
02 timestamp(ms):64819.05 rotation(x,y,z):0,0,4.336
02 timestamp(ms):64841.03 rotation(x,y,z):0,0,3.446
02 timestamp(ms):64863.21 rotation(x,y,z):0,0,2.563
02 timestamp(ms):64885.26 rotation(x,y,z):0,0,1.674
02 timestamp(ms):64907.48 rotation(x,y,z):0,0,0.793
02 timestamp(ms):64929.9 rotation(x,y,z):0,0,0
02 timestamp(ms):64952.23 rotation(x,y,z):0,0,-0.894
02 timestamp(ms):64974.49 rotation(x,y,z):0,0,-1.788
02 timestamp(ms):64997.05 rotation(x,y,z):0,0,-2.68
02 timestamp(ms):65018.81 rotation(x,y,z):0,0,-3.581
02 timestamp(ms):65041.03 rotation(x,y,z):0,0,-4.455
02 timestamp(ms):65063.26 rotation(x,y,z):0,0,-5.34
02 timestamp(ms):65085.37 rotation(x,y,z):0,0,-6.229
02 timestamp(ms):65107.54 rotation(x,y,z):0,0,-7.113
02 timestamp(ms):65129.99 rotation(x,y,z):0,0,-8
