00 testrun
00 01
00 testingapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:05:28 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):78432.86  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):80964.63 force plate (fx, fy, fz, mx, my, mz):-4.197926,-0.8253708,-1.800049,-12.19293,23.54367,-1.089089
01 timestamp(ms):80987.55 force plate (fx, fy, fz, mx, my, mz):-4.194035,-0.5859413,-1.986328,-12.0481,23.51025,-1.133166
01 timestamp(ms):81008.79 force plate (fx, fy, fz, mx, my, mz):-4.194794,-0.3372765,-1.424072,-12.1109,23.54416,-1.091027
01 timestamp(ms):81031.16 force plate (fx, fy, fz, mx, my, mz):-4.191921,-0.5836601,-1.424072,-12.09967,23.54428,-1.132704
01 timestamp(ms):81053.59 force plate (fx, fy, fz, mx, my, mz):-4.19268,-0.3343925,-1.425049,-12.21545,23.54407,-1.090352
01 timestamp(ms):81075.52 force plate (fx, fy, fz, mx, my, mz):-1.486509,-2.562195,-0.8793945,-10.83832,21.64136,-0.955339
01 timestamp(ms):81098.35 force plate (fx, fy, fz, mx, my, mz):-1.159201,-2.564182,-0.6904297,-10.78607,21.62378,-1.047892
01 timestamp(ms):81120.07 force plate (fx, fy, fz, mx, my, mz):-1.164186,-2.320087,-1.251953,-10.74579,21.58975,-1.006676
01 timestamp(ms):81142.3 force plate (fx, fy, fz, mx, my, mz):-0.8394566,-2.322208,-1.437012,-10.69342,21.63815,-1.099445
01 timestamp(ms):81164.63 force plate (fx, fy, fz, mx, my, mz):-0.1469669,-1.196001,0.8061523,-8.264587,20.53979,-1.821295
01 timestamp(ms):81186.41 force plate (fx, fy, fz, mx, my, mz):-0.4705753,-1.196974,0.9907227,-8.213318,20.49133,-1.729279
01 timestamp(ms):81208.97 force plate (fx, fy, fz, mx, my, mz):-0.1458454,-1.199099,0.8056641,-8.16095,20.53973,-1.822048
01 timestamp(ms):81230.96 force plate (fx, fy, fz, mx, my, mz):-0.1468601,-1.199255,0.8056641,-8.160645,20.47324,-1.821888
01 timestamp(ms):81252.84 force plate (fx, fy, fz, mx, my, mz):-0.4870777,-0.9590015,0.2431641,-8.223755,20.48984,-1.87457
01 timestamp(ms):81275.4 force plate (fx, fy, fz, mx, my, mz):-1.812216,-1.533899,-0.503418,-6.019714,20.89108,-2.081104
01 timestamp(ms):81297.6 force plate (fx, fy, fz, mx, my, mz):-1.812948,-1.535517,-0.6904297,-5.967834,20.92416,-2.08159
01 timestamp(ms):81319.91 force plate (fx, fy, fz, mx, my, mz):-1.811201,-1.533743,-0.503418,-6.02002,20.95764,-2.081264
01 timestamp(ms):81342.33 force plate (fx, fy, fz, mx, my, mz):-1.809347,-1.535223,-0.3164063,-5.96814,20.92456,-2.081532
01 timestamp(ms):81364.61 force plate (fx, fy, fz, mx, my, mz):-1.81204,-1.04645,-0.878418,-5.938232,20.95712,-2.083397
01 timestamp(ms):81387.09 force plate (fx, fy, fz, mx, my, mz):-0.4563351,-0.3737926,0.9943848,-3.276428,20.75537,-1.972625
01 timestamp(ms):81408.61 force plate (fx, fy, fz, mx, my, mz):-0.793787,0.1089954,0.2463379,-3.29834,20.73849,-2.068633
01 timestamp(ms):81431.7 force plate (fx, fy, fz, mx, my, mz):-0.7905502,0.1087856,0.2458496,-3.299316,20.73853,-2.068712
01 timestamp(ms):81453.68 force plate (fx, fy, fz, mx, my, mz):-0.7932072,-0.3820477,0.244873,-3.276733,20.67209,-2.067231
02 timestamp(ms):78457.56 rotation(x,y,z):0,0,-0.89
02 timestamp(ms):78477.62 rotation(x,y,z):0,0,-1.82
02 timestamp(ms):78499.62 rotation(x,y,z):0,0,-2.717
02 timestamp(ms):78521.81 rotation(x,y,z):0,0,-3.597
02 timestamp(ms):78543.73 rotation(x,y,z):0,0,-4.484
02 timestamp(ms):78566.08 rotation(x,y,z):0,0,-5.363
02 timestamp(ms):78589.43 rotation(x,y,z):0,0,-6.253
02 timestamp(ms):78611.27 rotation(x,y,z):0,0,-7.177
02 timestamp(ms):78633.08 rotation(x,y,z):0,0,-8.062
02 timestamp(ms):78654.7 rotation(x,y,z):0,0,-8.935
02 timestamp(ms):78677.45 rotation(x,y,z):0,0,-9.808
02 timestamp(ms):78699.67 rotation(x,y,z):0,0,-10.708
02 timestamp(ms):78723.02 rotation(x,y,z):0,0,-11.599
02 timestamp(ms):78743.65 rotation(x,y,z):0,0,-12.532
02 timestamp(ms):78765.78 rotation(x,y,z):0,0,-13.362
02 timestamp(ms):78788.1 rotation(x,y,z):0,0,-14.245
02 timestamp(ms):78810.24 rotation(x,y,z):0,0,-15
02 timestamp(ms):78832.24 rotation(x,y,z):0,0,-14.118
02 timestamp(ms):78854.59 rotation(x,y,z):0,0,-13.235
02 timestamp(ms):78877.61 rotation(x,y,z):0,0,-12.342
02 timestamp(ms):78898.73 rotation(x,y,z):0,0,-11.433
02 timestamp(ms):78921.22 rotation(x,y,z):0,0,-10.567
02 timestamp(ms):78943.72 rotation(x,y,z):0,0,-9.678
02 timestamp(ms):78965.65 rotation(x,y,z):0,0,-8.779
02 timestamp(ms):78988.11 rotation(x,y,z):0,0,-7.9
02 timestamp(ms):79009.98 rotation(x,y,z):0,0,-7.002
02 timestamp(ms):79032.51 rotation(x,y,z):0,0,-6.126
02 timestamp(ms):79054.54 rotation(x,y,z):0,0,-5.23
02 timestamp(ms):79078.59 rotation(x,y,z):0,0,-4.344
02 timestamp(ms):79098.17 rotation(x,y,z):0,0,-3.392
02 timestamp(ms):79120.84 rotation(x,y,z):0,0,-2.587
02 timestamp(ms):79143.08 rotation(x,y,z):0,0,-1.692
02 timestamp(ms):79165.18 rotation(x,y,z):0,0,-0.806
02 timestamp(ms):79187.27 rotation(x,y,z):0,0,0
02 timestamp(ms):79210.18 rotation(x,y,z):0,0,0.887
02 timestamp(ms):79232.1 rotation(x,y,z):0,0,1.798
02 timestamp(ms):79254.62 rotation(x,y,z):0,0,2.677
02 timestamp(ms):79277.73 rotation(x,y,z):0,0,3.579
02 timestamp(ms):79298.53 rotation(x,y,z):0,0,4.494
02 timestamp(ms):79322.22 rotation(x,y,z):0,0,5.346
02 timestamp(ms):79343.11 rotation(x,y,z):0,0,6.274
02 timestamp(ms):79367.01 rotation(x,y,z):0,0,7.122
02 timestamp(ms):79387.34 rotation(x,y,z):0,0,8.066
02 timestamp(ms):79410.18 rotation(x,y,z):0,0,8.896
02 timestamp(ms):79432.28 rotation(x,y,z):0,0,9.797
02 timestamp(ms):79455.28 rotation(x,y,z):0,0,10.686
02 timestamp(ms):79477.37 rotation(x,y,z):0,0,11.595
02 timestamp(ms):79498.53 rotation(x,y,z):0,0,12.488
02 timestamp(ms):79520.74 rotation(x,y,z):0,0,13.345
02 timestamp(ms):79543.45 rotation(x,y,z):0,0,14.224
02 timestamp(ms):79565.71 rotation(x,y,z):0,0,15
02 timestamp(ms):79587.88 rotation(x,y,z):0,0,14.106
02 timestamp(ms):79610.02 rotation(x,y,z):0,0,13.212
02 timestamp(ms):79632.24 rotation(x,y,z):0,0,12.337
02 timestamp(ms):79654.4 rotation(x,y,z):0,0,11.444
02 timestamp(ms):79676.8 rotation(x,y,z):0,0,10.555
02 timestamp(ms):79698.78 rotation(x,y,z):0,0,9.661
02 timestamp(ms):79721.27 rotation(x,y,z):0,0,8.78
02 timestamp(ms):79743.1 rotation(x,y,z):0,0,7.88
02 timestamp(ms):79765.46 rotation(x,y,z):0,0,7.008
02 timestamp(ms):79788.9 rotation(x,y,z):0,0,6.114
02 timestamp(ms):79809.66 rotation(x,y,z):0,0,5.188
02 timestamp(ms):79831.89 rotation(x,y,z):0,0,4.338
02 timestamp(ms):79860.19 rotation(x,y,z):0,0,3.456
02 timestamp(ms):79876.35 rotation(x,y,z):0,0,2.341
02 timestamp(ms):79897.98 rotation(x,y,z):0,0,1.671
02 timestamp(ms):79919.95 rotation(x,y,z):0,0,0.811
02 timestamp(ms):79942.42 rotation(x,y,z):0,0,0
02 timestamp(ms):79964.68 rotation(x,y,z):0,0,-0.896
02 timestamp(ms):79987.05 rotation(x,y,z):0,0,-1.79
02 timestamp(ms):80008.92 rotation(x,y,z):0,0,-2.682
02 timestamp(ms):80031.68 rotation(x,y,z):0,0,-3.555
02 timestamp(ms):80053.37 rotation(x,y,z):0,0,-4.469
